,AAPL,AEP,AMT,AMZN,BA,CVX,DD,DIS,GE,GOOGL,HD,IBM,JNJ,JPM,KO,MCD,MSFT,PFE,PG,SBUX,SHW,SLG,SPY,TGT,TSN,UNH,VZ,WFC,WMT,XOM
AAPL,0.09571387759707575,0.021830273477727577,0.038438234468071625,0.056955891310853726,0.0543156129904803,0.035025584952894075,0.03693833466164733,0.03329075101507331,0.03329052295761876,0.054275047157641726,0.043034969468981145,0.029172053200106275,0.02471566676594627,0.034813956452658334,0.025819572768457182,0.032177160681285455,0.0633719856192947,0.0242015310083481,0.025547662418444934,0.042569647075204,0.038212907935000845,0.032911861368723656,0.04463843490365206,0.030749576343508608,0.017274687342992492,0.039239070845095585,0.014611184057919726,0.03488651985057147,0.0260066610136456,0.028608115327972247
AEP,0.021830273477727577,0.05129604999462495,0.03306982170991714,0.010410629106040872,0.03195168759390887,0.01988935232995861,0.022169999404738707,0.019648891949505757,0.023556871491686976,0.017293089431853415,0.024673956043022437,0.02428339059904709,0.021453594885567702,0.024536714929527616,0.027530508373295105,0.020254998070387067,0.020588504769371616,0.02175325602504523,0.02618803299252886,0.022898038081527555,0.022812498278942276,0.03662241317339032,0.02098140135972592,0.018177437003831235,0.013622280886334071,0.02692977958043621,0.020990048301722825,0.029149111850000214,0.016899620665098487,0.018191879111118844
AMT,0.038438234468071625,0.03306982170991714,0.07012558156981677,0.026952883174295734,0.03299407623732318,0.025128189711092486,0.022266893352184947,0.02008356362364768,0.019615574944849622,0.03033421089039696,0.0321656523775981,0.02335254297227414,0.026789305465091996,0.025505388261643416,0.029834105851502438,0.02897379404801069,0.03997697124302608,0.024673321814464275,0.029919408512768576,0.03530692675539099,0.03301702972776486,0.0380474338000522,0.030119678242556944,0.02316786985731956,0.015685433526503176,0.035387439752801814,0.01802964851278663,0.026351939350511475,0.02110446099450088,0.015527288282944581
AMZN,0.056955891310853726,0.010410629106040872,0.026952883174295734,0.08096556939261526,0.027593946562430943,0.013393696527533744,0.01504154770621387,0.022969146241246016,0.009557465873449494,0.04888794040987646,0.027580752576382313,0.01659476266171831,0.013488027958230751,0.01401500947259269,0.012208935276422054,0.01959350700260909,0.05267403943189111,0.011767398360314738,0.015187014837060036,0.028994546138129188,0.02301427721919994,0.009056182879219415,0.031192056008897198,0.022405410018717015,0.008059371226256827,0.02379180439333774,0.008183341738613254,0.013128629600537105,0.01711139707815456,0.012618690068393194
BA,0.0543156129904803,0.03195168759390887,0.03299407623732318,0.027593946562430943,0.2520498390135491,0.11136564585764118,0.09073576074208015,0.08419264805548347,0.13159834596611514,0.05298669176031409,0.056033951553650624,0.06778015538093847,0.028160125694504656,0.10236949574736469,0.049523480056624054,0.0539363576243908,0.046182695526478794,0.036328070918365776,0.021633226382252735,0.0715473099943041,0.040726600696548806,0.1452928518472319,0.05877589860526122,0.03053421587283254,0.06575580723644206,0.051049948298285734,0.024372765275237147,0.11829731842057174,0.016747941590097824,0.10482685654495613
CVX,0.035025584952894075,0.01988935232995861,0.025128189711092486,0.013393696527533744,0.11136564585764118,0.12860290274174324,0.07632128993309338,0.05995039139311988,0.0894066336256223,0.03995457299940767,0.04075837781359283,0.05570869843234528,0.028862447969722763,0.08327814778097468,0.03770731357253208,0.040516138021965444,0.03378719146369631,0.02941498748708553,0.01930355910822816,0.04893123229094716,0.03580214088223957,0.10083952208429486,0.04489900390778591,0.025406403171443864,0.044905513710207214,0.049068345119017184,0.024436188057180678,0.09233251928911979,0.014527582529909657,0.11168380881651882
DD,0.03693833466164733,0.022169999404738707,0.022266893352184947,0.01504154770621387,0.09073576074208015,0.07632128993309338,0.11550329288582896,0.05236945336263133,0.08050401287915845,0.031144158967792795,0.04119877437968606,0.05057368611540973,0.025167632213756026,0.07434776950407378,0.031249358222395204,0.0350923197442403,0.030285707463278723,0.025535677684673633,0.018876465259904822,0.04452635025249309,0.03825715121176639,0.08483690442305059,0.04170553225351463,0.029942572711006622,0.036107543802775206,0.040195389253121695,0.02255220354149657,0.07932606424147767,0.01616174518186798,0.072415209023106
DIS,0.03329075101507331,0.019648891949505757,0.02008356362364768,0.022969146241246016,0.08419264805548347,0.05995039139311988,0.05236945336263133,0.09989232296960959,0.06384275955582099,0.03695265721448426,0.03539508730899138,0.03753321175206825,0.0202957188255346,0.06111527903756188,0.03278736604244946,0.034547438506631195,0.034067736035571936,0.019809106464328534,0.019003806306528016,0.045971547460762985,0.029676951638938482,0.08185936489608003,0.03716995262140627,0.02235204674543359,0.03549428921208267,0.03327040040480198,0.018808390688808074,0.06280998923961083,0.013808398335774071,0.057914850277269475
GE,0.03329052295761876,0.023556871491686976,0.019615574944849622,0.009557465873449494,0.13159834596611514,0.0894066336256223,0.08050401287915845,0.06384275955582099,0.17797844727183723,0.028554511526780714,0.03802332252327553,0.06132930370639195,0.025654620740877952,0.08643612532170819,0.0378819137280227,0.03825078713455418,0.025208702827599554,0.02879876390353926,0.01794277449651271,0.04850068733109477,0.03372711985875373,0.11123395749633026,0.043011047086558535,0.02755985970057317,0.047398909945753284,0.04096738486033596,0.02235398427030158,0.10116122002075696,0.012452621943660962,0.08951024875345538
GOOGL,0.054275047157641726,0.017293089431853415,0.03033421089039696,0.04888794040987646,0.05298669176031409,0.03995457299940767,0.031144158967792795,0.03695265721448426,0.028554511526780714,0.07673557552593611,0.036041708214418655,0.028386416454486967,0.02047551724279149,0.03450458946100674,0.02552842716507594,0.0304316868843795,0.058830925507374246,0.02148596933306239,0.02052971629468342,0.03938490188688153,0.03252190335667172,0.03716034409073479,0.03916072973868619,0.023435249986247013,0.01846734577849649,0.03631459354643081,0.014230485012403914,0.03766820942569875,0.01880214251369509,0.035103125194728635
HD,0.043034969468981145,0.024673956043022437,0.0321656523775981,0.027580752576382313,0.056033951553650624,0.04075837781359283,0.04119877437968606,0.03539508730899138,0.03802332252327553,0.036041708214418655,0.06705602697704384,0.03195027776702756,0.021866516554304067,0.040295955129115844,0.025821617287771097,0.03656582753401088,0.04281829707183778,0.01987757449382605,0.025311871020452074,0.04062739532870837,0.045785160352955365,0.03619536156431483,0.036036617153584076,0.03812326860012314,0.029684750199888185,0.04089017278864815,0.018449775651793388,0.04588223110305694,0.024211952443403944,0.02929128321256568
IBM,0.029172053200106275,0.02428339059904709,0.02335254297227414,0.01659476266171831,0.06778015538093847,0.05570869843234528,0.05057368611540973,0.03753321175206825,0.06132930370639195,0.028386416454486967,0.03195027776702756,0.07824493521048115,0.02517390907526405,0.05138532856977305,0.031569116537359034,0.028772172908045627,0.02827188836682376,0.026665351142697084,0.02419035352733921,0.03446749732546342,0.02961348978006364,0.06588222679323365,0.03285612441319783,0.02391632141592559,0.029571977744252652,0.0334262582007792,0.021866138140898356,0.05815820394992335,0.015645223850866762,0.054821091230553384
JNJ,0.02471566676594627,0.021453594885567702,0.026789305465091996,0.013488027958230751,0.028160125694504656,0.028862447969722763,0.025167632213756026,0.0202957188255346,0.025654620740877952,0.02047551724279149,0.021866516554304067,0.02517390907526405,0.036406539442368456,0.024473613714889646,0.022205435769849225,0.018008940696075282,0.02485350404019355,0.026415004503723288,0.023177561985479784,0.022365232301715995,0.021104435049197977,0.029405445194673266,0.022369974232664316,0.01851914981426294,0.011878603573294988,0.02948423498325298,0.01720108034156986,0.026660734128286914,0.01766607246632091,0.023098313311055142
JPM,0.034813956452658334,0.024536714929527616,0.025505388261643416,0.01401500947259269,0.10236949574736469,0.08327814778097468,0.07434776950407378,0.06111527903756188,0.08643612532170819,0.03450458946100674,0.040295955129115844,0.05138532856977305,0.024473613714889646,0.10186902293008616,0.03558405240635906,0.03620000033420061,0.03153712187227992,0.028778306668085948,0.020754865628465475,0.04884344267807515,0.03169183020224971,0.10383223140264058,0.04274840456795758,0.027648657183081578,0.04311838737153613,0.04390182405623031,0.024601673692186035,0.10310369850480333,0.01614663756983245,0.07739511233025019
KO,0.025819572768457182,0.027530508373295105,0.029834105851502438,0.012208935276422054,0.049523480056624054,0.03770731357253208,0.031249358222395204,0.03278736604244946,0.0378819137280227,0.02552842716507594,0.025821617287771097,0.031569116537359034,0.022205435769849225,0.03558405240635906,0.0423024313247649,0.026131078771616467,0.0262092935240994,0.02218965318308004,0.023676076348798564,0.031052359681869573,0.02450891675341823,0.0514517951973991,0.026159779369539834,0.015900834551595487,0.021006864209225637,0.027546823606931958,0.019187762485898825,0.039508221264535875,0.014974850533789276,0.03356696405056389
MCD,0.032177160681285455,0.020254998070387067,0.02897379404801069,0.01959350700260909,0.0539363576243908,0.040516138021965444,0.0350923197442403,0.034547438506631195,0.03825078713455418,0.0304316868843795,0.03656582753401088,0.028772172908045627,0.018008940696075282,0.03620000033420061,0.026131078771616467,0.05130531175318231,0.03263958287446721,0.013836435292588772,0.018858359210618326,0.04325543428543102,0.03340281883546657,0.04333605862702375,0.029301492086151876,0.019977215115000644,0.02662479117235812,0.030098795090791188,0.014884710486259882,0.039286991459924266,0.014345178221063178,0.030337753845593212
MSFT,0.0633719856192947,0.020588504769371616,0.03997697124302608,0.05267403943189111,0.046182695526478794,0.03378719146369631,0.030285707463278723,0.034067736035571936,0.025208702827599554,0.058830925507374246,0.04281829707183778,0.02827188836682376,0.02485350404019355,0.03153712187227992,0.0262092935240994,0.03263958287446721,0.07484917312804064,0.0225071274254538,0.026227922379997624,0.041673787559924715,0.03865222988924756,0.029680332806240467,0.04154202591931077,0.02961190932497251,0.015805079434082506,0.04046811637421224,0.01504527921160677,0.03238376455118465,0.024602958790685577,0.02410262875393151
PFE,0.0242015310083481,0.02175325602504523,0.024673321814464275,0.011767398360314738,0.036328070918365776,0.02941498748708553,0.025535677684673633,0.019809106464328534,0.02879876390353926,0.02148596933306239,0.01987757449382605,0.026665351142697084,0.026415004503723288,0.028778306668085948,0.02218965318308004,0.013836435292588772,0.0225071274254538,0.05927955225511335,0.01957291326153924,0.02161182041418755,0.018578629439103024,0.04000444932380874,0.022385288923105033,0.016604229076049526,0.017697126219839758,0.02996671417278813,0.018221879318169498,0.03219832730516778,0.015668480694251453,0.027083650593645852
PG,0.025547662418444934,0.02618803299252886,0.029919408512768576,0.015187014837060036,0.021633226382252735,0.01930355910822816,0.018876465259904822,0.019003806306528016,0.01794277449651271,0.02052971629468342,0.025311871020452074,0.02419035352733921,0.023177561985479784,0.020754865628465475,0.023676076348798564,0.018858359210618326,0.026227922379997624,0.01957291326153924,0.03797684931457322,0.02168441612905894,0.024494776332028255,0.021267579888583462,0.02172649063231642,0.022504298526693372,0.012241305505944539,0.027410113721994894,0.01867319062308267,0.023469071911140553,0.021371757894837442,0.015341769954436419
SBUX,0.042569647075204,0.022898038081527555,0.03530692675539099,0.028994546138129188,0.0715473099943041,0.04893123229094716,0.04452635025249309,0.045971547460762985,0.04850068733109477,0.03938490188688153,0.04062739532870837,0.03446749732546342,0.022365232301715995,0.04884344267807515,0.031052359681869573,0.04325543428543102,0.041673787559924715,0.02161182041418755,0.02168441612905894,0.07519306049366475,0.03712698237149984,0.06358909215978295,0.0377993083340386,0.024051017165219034,0.03422750329854754,0.036869685749517794,0.01745252494595859,0.05181870777426312,0.018051129522712643,0.03998357373600684
SHW,0.038212907935000845,0.022812498278942276,0.03301702972776486,0.02301427721919994,0.040726600696548806,0.03580214088223957,0.03825715121176639,0.029676951638938482,0.03372711985875373,0.03252190335667172,0.045785160352955365,0.02961348978006364,0.021104435049197977,0.03169183020224971,0.02450891675341823,0.03340281883546657,0.03865222988924756,0.018578629439103024,0.024494776332028255,0.03712698237149984,0.06539865550063707,0.03024412295218098,0.0321192327926244,0.02753214858682026,0.02713578838481227,0.03752602908260912,0.01799098129856935,0.036869120304020585,0.019010721359032392,0.02574358639468018
SLG,0.032911861368723656,0.03662241317339032,0.0380474338000522,0.009056182879219415,0.1452928518472319,0.10083952208429486,0.08483690442305059,0.08185936489608003,0.11123395749633026,0.03716034409073479,0.03619536156431483,0.06588222679323365,0.029405445194673266,0.10383223140264058,0.0514517951973991,0.04333605862702375,0.029680332806240467,0.04000444932380874,0.021267579888583462,0.06358909215978295,0.03024412295218098,0.23667101194266157,0.048144709738149494,0.02195740685182546,0.062408953059889014,0.04819154677545238,0.02818733185990041,0.11316940157419626,0.012020224775165301,0.09931649024164232
SPY,0.04463843490365206,0.02098140135972592,0.030119678242556944,0.031192056008897198,0.05877589860526122,0.04489900390778591,0.04170553225351463,0.03716995262140627,0.043011047086558535,0.03916072973868619,0.036036617153584076,0.03285612441319783,0.022369974232664316,0.04274840456795758,0.026159779369539834,0.029301492086151876,0.04154202591931077,0.022385288923105033,0.02172649063231642,0.0377993083340386,0.0321192327926244,0.048144709738149494,0.03572294969269099,0.026256423203128237,0.02392747580094229,0.0360019797316947,0.016778098907683232,0.046787338647243146,0.018895752189744527,0.03937212757301591
TGT,0.030749576343508608,0.018177437003831235,0.02316786985731956,0.022405410018717015,0.03053421587283254,0.025406403171443864,0.029942572711006622,0.02235204674543359,0.02755985970057317,0.023435249986247013,0.03812326860012314,0.02391632141592559,0.01851914981426294,0.027648657183081578,0.015900834551595487,0.019977215115000644,0.02961190932497251,0.016604229076049526,0.022504298526693372,0.024051017165219034,0.02753214858682026,0.02195740685182546,0.026256423203128237,0.07656874086132776,0.01693324285957086,0.027188609794280182,0.01647855096137803,0.037209457602173784,0.02574970698898132,0.02342411646241541
TSN,0.017274687342992492,0.013622280886334071,0.015685433526503176,0.008059371226256827,0.06575580723644206,0.044905513710207214,0.036107543802775206,0.03549428921208267,0.047398909945753284,0.01846734577849649,0.029684750199888185,0.029571977744252652,0.011878603573294988,0.04311838737153613,0.021006864209225637,0.02662479117235812,0.015805079434082506,0.017697126219839758,0.012241305505944539,0.03422750329854754,0.02713578838481227,0.062408953059889014,0.02392747580094229,0.01693324285957086,0.09068118767544307,0.02703039060338273,0.016103932039851714,0.052766750535009004,0.012749706869163132,0.04447982626310605
UNH,0.039239070845095585,0.02692977958043621,0.035387439752801814,0.02379180439333774,0.051049948298285734,0.049068345119017184,0.040195389253121695,0.03327040040480198,0.04096738486033596,0.03631459354643081,0.04089017278864815,0.0334262582007792,0.02948423498325298,0.04390182405623031,0.027546823606931958,0.030098795090791188,0.04046811637421224,0.02996671417278813,0.027410113721994894,0.036869685749517794,0.03752602908260912,0.04819154677545238,0.0360019797316947,0.027188609794280182,0.02703039060338273,0.08092377109671446,0.02214498821222395,0.0452834894802442,0.019662535055872746,0.037133671072722585
VZ,0.014611184057919726,0.020990048301722825,0.01802964851278663,0.008183341738613254,0.024372765275237147,0.024436188057180678,0.02255220354149657,0.018808390688808074,0.02235398427030158,0.014230485012403914,0.018449775651793388,0.021866138140898356,0.01720108034156986,0.024601673692186035,0.019187762485898825,0.014884710486259882,0.01504527921160677,0.018221879318169498,0.01867319062308267,0.01745252494595859,0.01799098129856935,0.02818733185990041,0.016778098907683232,0.01647855096137803,0.016103932039851714,0.02214498821222395,0.027368843613623663,0.028506417859246767,0.014190083971787275,0.02267914122426998
WFC,0.03488651985057147,0.029149111850000214,0.026351939350511475,0.013128629600537105,0.11829731842057174,0.09233251928911979,0.07932606424147767,0.06280998923961083,0.10116122002075696,0.03766820942569875,0.04588223110305694,0.05815820394992335,0.026660734128286914,0.10310369850480333,0.039508221264535875,0.039286991459924266,0.03238376455118465,0.03219832730516778,0.023469071911140553,0.05181870777426312,0.036869120304020585,0.11316940157419626,0.046787338647243146,0.037209457602173784,0.052766750535009004,0.0452834894802442,0.028506417859246767,0.16029855588816527,0.01985661500518967,0.0925474143873579
WMT,0.0260066610136456,0.016899620665098487,0.02110446099450088,0.01711139707815456,0.016747941590097824,0.014527582529909657,0.01616174518186798,0.013808398335774071,0.012452621943660962,0.01880214251369509,0.024211952443403944,0.015645223850866762,0.01766607246632091,0.01614663756983245,0.014974850533789276,0.014345178221063178,0.024602958790685577,0.015668480694251453,0.021371757894837442,0.018051129522712643,0.019010721359032392,0.012020224775165301,0.018895752189744527,0.02574970698898132,0.012749706869163132,0.019662535055872746,0.014190083971787275,0.01985661500518967,0.041107515067984234,0.012468441059270242
XOM,0.028608115327972247,0.018191879111118844,0.015527288282944581,0.012618690068393194,0.10482685654495613,0.11168380881651882,0.072415209023106,0.057914850277269475,0.08951024875345538,0.035103125194728635,0.02929128321256568,0.054821091230553384,0.023098313311055142,0.07739511233025019,0.03356696405056389,0.030337753845593212,0.02410262875393151,0.027083650593645852,0.015341769954436419,0.03998357373600684,0.02574358639468018,0.09931649024164232,0.03937212757301591,0.02342411646241541,0.04447982626310605,0.037133671072722585,0.02267914122426998,0.0925474143873579,0.012468441059270242,0.12697720338078813
